INTERSECTION_NAME,INTERSECTION_X,INTERSECTION_Y,GRAPH_NODE_COUNT,MAX_GRAPH_DEGREE,BRANCH_COUNT,DIRECTION_GROUP_COUNT,geometry_wkt
Intersection 1,482322.50572179235,7513865.584463101,35,5,63,6,"POLYGON ((116.828196 -22.482, 116.827971 -22.481881, 116.827659 -22.481631, 116.827652 -22.481624, 116.827659 -22.481477, 116.827962 -22.481085, 116.828131 -22.48104, 116.828228 -22.48104, 116.828265 -22.481045, 116.828431 -22.481097, 116.828646 -22.481655, 116.828481 -22.481808, 116.82839 -22.48188, 116.828196 -22.482))"
Intersection 2,481793.44923518744,7512702.652116773,28,4,63,6,"POLYGON ((116.822916 -22.492498, 116.822751 -22.492344, 116.822703 -22.492028, 116.822703 -22.491757, 116.822752 -22.491622, 116.822869 -22.491513, 116.822917 -22.491513, 116.823277 -22.491617, 116.823276 -22.492345, 116.823242 -22.492421, 116.823201 -22.492459, 116.822965 -22.492498, 116.822916 -22.492498))"
Intersection 3,483312.5417956938,7512370.414826902,15,4,55,6,"POLYGON ((116.83769 -22.495495, 116.837573 -22.495386, 116.8374 -22.494773, 116.837428 -22.494709, 116.837496 -22.4946, 116.837586 -22.49457, 116.837635 -22.49457, 116.837788 -22.494601, 116.83787 -22.494632, 116.837885 -22.494646, 116.838002 -22.494754, 116.838016 -22.494768, 116.838065 -22.494858, 116.838099 -22.494935, 116.838098 -22.495251, 116.838015 -22.495373, 116.837918 -22.495463, 116.837836 -22.495495, 116.83769 -22.495495))"
Intersection 4,483618.9941315763,7513217.736057624,18,3,55,6,"POLYGON ((116.840469 -22.487638, 116.840353 -22.48762, 116.84027 -22.487563, 116.840256 -22.487439, 116.840256 -22.487394, 116.840268 -22.487262, 116.840344 -22.48721, 116.84047 -22.48715, 116.840616 -22.487105, 116.841102 -22.487106, 116.841184 -22.487137, 116.841233 -22.487183, 116.84126 -22.487447, 116.841233 -22.487472, 116.841184 -22.487517, 116.841087 -22.487562, 116.841004 -22.487593, 116.84081 -22.487638, 116.840469 -22.487638))"
Intersection 5,515802.30619808834,7510277.213145347,15,4,53,6,"POLYGON ((117.153679 -22.514429, 117.153268 -22.514204, 117.153268 -22.513987, 117.153318 -22.51359, 117.153512 -22.513445, 117.153532 -22.513445, 117.153741 -22.513476, 117.15394 -22.513553, 117.154038 -22.51414, 117.154038 -22.51423, 117.154004 -22.514307, 117.153955 -22.514352, 117.153727 -22.514429, 117.153679 -22.514429))"
Intersection 6,484502.93389950914,7513360.7150406595,43,4,47,6,"POLYGON ((116.849243 -22.486562, 116.848861 -22.486217, 116.848861 -22.486047, 116.848958 -22.485782, 116.849378 -22.48557, 116.849416 -22.485578, 116.849654 -22.485726, 116.849804 -22.486075, 116.849823 -22.486138, 116.849823 -22.486183, 116.849804 -22.486292, 116.849525 -22.486563, 116.849243 -22.486562))"
Intersection 7,512448.7223298141,7511552.570373195,15,5,46,6,"POLYGON ((117.121144 -22.502849, 117.121115 -22.502845, 117.120852 -22.502804, 117.120769 -22.502772, 117.120735 -22.502756, 117.120687 -22.502695, 117.120597 -22.502578, 117.120556 -22.502476, 117.120596 -22.502361, 117.120638 -22.502244, 117.121172 -22.502059, 117.121406 -22.502059, 117.121472 -22.502231, 117.121357 -22.502604, 117.121309 -22.502757, 117.121192 -22.502849, 117.121144 -22.502849))"
Intersection 8,484570.8985585559,7513316.308936646,9,4,46,6,"POLYGON ((116.849808 -22.486924, 116.849656 -22.486563, 116.849656 -22.486346, 116.849823 -22.486075, 116.849964 -22.486062, 116.850047 -22.486075, 116.850129 -22.486107, 116.850226 -22.486152, 116.850338 -22.486211, 116.850357 -22.486545, 116.850357 -22.486636, 116.850323 -22.486712, 116.850237 -22.486823, 116.850095 -22.486879, 116.850061 -22.486893, 116.8499 -22.486924, 116.849808 -22.486924))"
Intersection 9,486445.2098829558,7513167.249000506,5,3,43,6,"POLYGON ((116.868078 -22.488205, 116.86801 -22.488181, 116.867768 -22.487645, 116.867768 -22.487599, 116.867804 -22.487491, 116.867884 -22.487491, 116.868322 -22.487582, 116.868467 -22.487627, 116.868696 -22.487749, 116.86871 -22.487763, 116.868632 -22.488057, 116.868516 -22.48816, 116.868127 -22.488205, 116.868078 -22.488205))"
Intersection 10,482561.35093732196,7513916.536479389,9,3,41,6,"POLYGON ((116.83061 -22.48153, 116.830138 -22.481317, 116.830009 -22.481218, 116.829959 -22.48106, 116.829959 -22.480981, 116.829999 -22.480887, 116.830139 -22.480712, 116.830188 -22.480667, 116.83049 -22.480599, 116.830708 -22.480681, 116.83079 -22.480713, 116.830936 -22.480803, 116.830973 -22.480838, 116.830824 -22.481447, 116.830707 -22.48153, 116.83061 -22.48153))"
Intersection 11,512014.5270855129,7510682.705302476,18,3,40,6,"POLYGON ((117.117004 -22.510815, 117.116804 -22.510749, 117.116415 -22.510617, 117.116415 -22.510558, 117.116463 -22.510033, 117.116684 -22.509873, 117.117018 -22.509862, 117.117023 -22.509862, 117.117232 -22.510018, 117.117232 -22.510061, 117.117086 -22.510693, 117.117052 -22.51077, 117.117004 -22.510815))"
Intersection 12,513221.26630865445,7511164.079124472,19,4,36,6,"POLYGON ((117.128633 -22.506321, 117.128244 -22.506186, 117.12815 -22.506011, 117.128064 -22.505793, 117.128145 -22.505608, 117.128147 -22.505608, 117.128924 -22.505742, 117.129007 -22.505774, 117.129056 -22.505819, 117.128997 -22.506004, 117.12891 -22.506185, 117.128682 -22.506321, 117.128633 -22.506321))"
Intersection 13,482585.453768333,7514454.546909862,4,3,35,6,"POLYGON ((116.830567 -22.476697, 116.83045 -22.476618, 116.830403 -22.475865, 116.830403 -22.475822, 116.830519 -22.475757, 116.830568 -22.475757, 116.830908 -22.475803, 116.830991 -22.475835, 116.831039 -22.47588, 116.831087 -22.476349, 116.831061 -22.476381, 116.830615 -22.476697, 116.830567 -22.476697))"
Intersection 14,513022.0437132148,7510726.546400121,7,3,35,6,"POLYGON ((117.126466 -22.510403, 117.126349 -22.510376, 117.126322 -22.510364, 117.12622 -22.509571, 117.126269 -22.509525, 117.126708 -22.509479, 117.126906 -22.509556, 117.127118 -22.509934, 117.126984 -22.510071, 117.126629 -22.510356, 117.126547 -22.510388, 117.126466 -22.510403))"
Intersection 15,482557.29029273766,7514861.03343695,5,3,34,6,"POLYGON ((116.830635 -22.472933, 116.830018 -22.472617, 116.830018 -22.472342, 116.830052 -22.472265, 116.830101 -22.47222, 116.830198 -22.472175, 116.830281 -22.472143, 116.830329 -22.472143, 116.830441 -22.472175, 116.830517 -22.472203, 116.830558 -22.472221, 116.830655 -22.472266, 116.830725 -22.472301, 116.830849 -22.472447, 116.830883 -22.472523, 116.830883 -22.472614, 116.830863 -22.472722, 116.830635 -22.472933))"
Intersection 16,481907.1611718654,7510818.2293892335,6,3,32,6,"POLYGON ((116.824005 -22.509378, 116.823833 -22.50927, 116.823714 -22.50919, 116.823718 -22.509052, 116.823751 -22.508832, 116.823785 -22.508756, 116.823834 -22.508711, 116.824373 -22.50877, 116.82447 -22.508878, 116.82447 -22.509014, 116.824436 -22.509163, 116.82435 -22.509246, 116.82427 -22.509316, 116.824068 -22.509378, 116.824005 -22.509378))"
Intersection 17,515783.4643526281,7509833.88190635,6,3,31,6,"POLYGON ((117.15378 -22.518359, 117.153148 -22.518134, 117.153057 -22.518089, 117.152956 -22.517907, 117.152999 -22.517809, 117.153345 -22.517556, 117.153439 -22.517555, 117.153491 -22.517567, 117.153799 -22.517684, 117.153897 -22.518251, 117.153897 -22.518296, 117.153867 -22.518359, 117.15378 -22.518359))"
Intersection 18,481665.21460943564,7511967.302269958,12,4,29,6,"POLYGON ((116.821984 -22.499047, 116.821902 -22.499015, 116.821416 -22.498698, 116.821266 -22.498567, 116.821236 -22.498531, 116.821236 -22.498428, 116.821308 -22.498377, 116.821492 -22.498257, 116.8217 -22.498354, 116.821936 -22.498472, 116.82213 -22.498592, 116.822204 -22.498864, 116.822138 -22.498984, 116.822032 -22.499047, 116.821984 -22.499047))"
Intersection 19,481718.8733481384,7512757.771829311,3,3,29,6,"POLYGON ((116.822117 -22.49193, 116.821925 -22.491846, 116.821925 -22.491756, 116.821945 -22.491512, 116.822169 -22.491084, 116.822181 -22.491076, 116.822402 -22.491084, 116.822525 -22.491208, 116.822629 -22.491402, 116.822645 -22.491621, 116.822645 -22.491667, 116.822117 -22.49193))"
Intersection 20,515954.0496882703,7510112.2240025485,8,3,29,6,"POLYGON ((117.155292 -22.515723, 117.155201 -22.515709, 117.154979 -22.515641, 117.15484 -22.515536, 117.154764 -22.51539, 117.15473 -22.515314, 117.15473 -22.515136, 117.154801 -22.51507, 117.154846 -22.51507, 117.155561 -22.51543, 117.15561 -22.515507, 117.155562 -22.515647, 117.155292 -22.515723))"
Intersection 21,484283.8858378788,7517927.221849108,24,4,27,6,"POLYGON ((116.847253 -22.445192, 116.846874 -22.444981, 116.846897 -22.444654, 116.846912 -22.444492, 116.846917 -22.444489, 116.84706 -22.444415, 116.847094 -22.444412, 116.847293 -22.444416, 116.847702 -22.444923, 116.847702 -22.44514, 116.847564 -22.445185, 116.847486 -22.445192, 116.847253 -22.445192))"
Intersection 22,482007.3179663599,7511505.496375229,3,3,27,6,"POLYGON ((116.82473 -22.503167, 116.82473 -22.503097, 116.824765 -22.502632, 116.82478 -22.502555, 116.824828 -22.502397, 116.825062 -22.502397, 116.825547 -22.502917, 116.825547 -22.50295, 116.825353 -22.503098, 116.824964 -22.503167, 116.82473 -22.503167))"
Intersection 23,482261.26459784224,7512884.1862537805,5,3,27,6,"POLYGON ((116.827252 -22.490696, 116.827176 -22.490587, 116.827177 -22.490497, 116.827245 -22.490298, 116.827394 -22.490129, 116.827473 -22.490105, 116.827627 -22.490088, 116.827731 -22.490118, 116.827814 -22.49015, 116.827959 -22.490241, 116.82803 -22.490306, 116.827865 -22.490459, 116.827293 -22.490696, 116.827252 -22.490696))"
Intersection 24,477954.59244693455,7514110.299315598,4,3,26,6,"POLYGON ((116.785611 -22.479519, 116.785487 -22.479471, 116.785403 -22.479422, 116.78539 -22.479335, 116.785391 -22.4792, 116.785425 -22.479123, 116.785511 -22.479012, 116.785605 -22.478956, 116.785927 -22.478956, 116.785979 -22.479273, 116.785978 -22.479489, 116.785611 -22.479519))"
Intersection 25,483139.90133762476,7512984.1163845,2,3,26,6,"POLYGON ((116.835946 -22.489756, 116.83583 -22.489693, 116.835658 -22.489575, 116.835658 -22.489359, 116.835801 -22.489314, 116.836336 -22.489224, 116.836519 -22.489224, 116.836519 -22.489441, 116.836283 -22.4897, 116.835995 -22.489757, 116.835946 -22.489756))"
Intersection 26,514989.83133459446,7510125.3890703935,2,3,26,6,"POLYGON ((117.145493 -22.515728, 117.145429 -22.515128, 117.145452 -22.514943, 117.145511 -22.514943, 117.146046 -22.515078, 117.146175 -22.515123, 117.146178 -22.515155, 117.146175 -22.51534, 117.145726 -22.515728, 117.145493 -22.515728))"
Intersection 27,512670.1469603485,7511162.203852382,4,3,26,6,"POLYGON ((117.123067 -22.506393, 117.122877 -22.506307, 117.122704 -22.506113, 117.122808 -22.505919, 117.123325 -22.505529, 117.123499 -22.505629, 117.123621 -22.505792, 117.123621 -22.506009, 117.123067 -22.506393))"
Intersection 28,482449.22776342696,7511312.181077161,4,5,25,6,"POLYGON ((116.82943 -22.50489, 116.828991 -22.504791, 116.828991 -22.504574, 116.829512 -22.504213, 116.829561 -22.504213, 116.829678 -22.504262, 116.829678 -22.504322, 116.829646 -22.504535, 116.829572 -22.504741, 116.82943 -22.50489))"
Intersection 29,481635.7662654078,7512626.665971168,2,3,25,6,"POLYGON ((116.82136 -22.493174, 116.821243 -22.493124, 116.821181 -22.49251, 116.821256 -22.492325, 116.821263 -22.492325, 116.821691 -22.492335, 116.821856 -22.492488, 116.821622 -22.49293, 116.821539 -22.493052, 116.821476 -22.493124, 116.821408 -22.493174, 116.82136 -22.493174))"
Intersection 30,483747.699408701,7513300.794396464,8,3,25,6,"POLYGON ((116.841991 -22.487129, 116.841812 -22.487034, 116.841812 -22.486989, 116.841815 -22.486248, 116.842083 -22.486236, 116.842289 -22.486312, 116.842291 -22.486333, 116.842289 -22.486357, 116.842108 -22.486913, 116.842059 -22.487021, 116.842011 -22.487111, 116.841991 -22.487129))"
Intersection 31,485451.7294073889,7512888.022594708,3,3,25,6,"POLYGON ((116.858556 -22.490712, 116.858347 -22.490615, 116.858128 -22.490455, 116.858128 -22.490238, 116.858871 -22.490032, 116.858975 -22.490226, 116.858923 -22.490451, 116.858758 -22.490605, 116.858556 -22.490712))"
Intersection 32,481952.3387961033,7512438.941664359,3,4,24,6,"POLYGON ((116.824498 -22.494745, 116.824088 -22.494532, 116.823996 -22.494451, 116.824018 -22.494389, 116.824088 -22.494315, 116.82468 -22.493973, 116.824711 -22.493956, 116.824878 -22.494063, 116.824931 -22.494453, 116.824856 -22.494659, 116.824731 -22.494745, 116.824498 -22.494745))"
Intersection 33,484242.4453555127,7517707.461303672,23,4,24,6,"POLYGON ((116.846862 -22.447192, 116.846477 -22.446946, 116.846362 -22.446733, 116.846328 -22.446656, 116.846328 -22.446611, 116.846364 -22.446573, 116.846393 -22.446559, 116.847111 -22.446517, 116.847208 -22.446535, 116.84729 -22.446612, 116.8473 -22.446861, 116.847095 -22.447192, 116.846862 -22.447192))"
Intersection 34,485604.0674702829,7513322.311454902,8,4,20,6,"POLYGON ((116.859988 -22.486912, 116.859977 -22.486902, 116.859894 -22.486735, 116.859877 -22.486295, 116.859951 -22.48609, 116.859992 -22.486031, 116.859998 -22.486023, 116.860225 -22.486031, 116.860225 -22.486057, 116.860176 -22.486825, 116.859988 -22.486912))"
Intersection 35,496254.28794499225,7512181.28770974,89,5,96,5,"POLYGON ((116.963736 -22.497244, 116.96359 -22.497199, 116.963508 -22.497167, 116.963313 -22.497076, 116.963125 -22.496927, 116.96304 -22.496793, 116.963088 -22.496612, 116.963168 -22.496471, 116.963216 -22.496426, 116.963272 -22.496394, 116.963347 -22.496394, 116.963542 -22.49644, 116.963882 -22.49653, 116.963965 -22.496562, 116.964013 -22.496607, 116.964083 -22.496733, 116.964098 -22.496795, 116.964096 -22.496929, 116.963947 -22.497167, 116.963819 -22.497244, 116.963736 -22.497244))"
Intersection 36,496765.4939632926,7512004.910773142,164,4,79,5,"POLYGON ((116.968743 -22.498826, 116.968159 -22.498645, 116.968077 -22.498613, 116.968028 -22.498568, 116.968006 -22.498443, 116.968003 -22.498359, 116.968007 -22.498353, 116.968077 -22.498234, 116.968126 -22.498189, 116.96816 -22.498157, 116.968451 -22.497977, 116.968597 -22.497977, 116.96884 -22.498067, 116.968923 -22.498099, 116.968963 -22.498136, 116.969046 -22.498532, 116.968948 -22.498758, 116.96884 -22.498826, 116.968743 -22.498826))"
Intersection 37,500954.6370154769,7510653.990057505,25,4,79,5,"POLYGON ((117.009383 -22.511024, 117.008945 -22.510889, 117.008863 -22.510857, 117.008814 -22.510812, 117.008744 -22.510682, 117.00873 -22.510586, 117.008737 -22.510566, 117.00878 -22.510464, 117.008871 -22.510356, 117.009043 -22.510175, 117.00914 -22.510175, 117.009431 -22.510266, 117.009675 -22.510356, 117.009757 -22.510388, 117.009772 -22.510402, 117.009816 -22.510716, 117.009779 -22.510784, 117.009645 -22.510947, 117.009529 -22.511024, 117.009383 -22.511024))"
Intersection 38,497329.11376194406,7511817.24060374,61,4,75,5,"POLYGON ((116.974333 -22.500453, 116.973604 -22.500227, 116.973521 -22.500195, 116.973518 -22.500192, 116.973493 -22.500084, 116.973548 -22.499889, 116.973597 -22.499799, 116.973695 -22.499739, 116.973701 -22.499739, 116.974333 -22.49992, 116.974473 -22.499965, 116.974578 -22.500131, 116.974541 -22.500243, 116.974492 -22.500379, 116.974386 -22.500453, 116.974333 -22.500453))"
Intersection 39,498199.24678174156,7511544.846657799,473,4,75,5,"POLYGON ((116.982742 -22.502893, 116.982159 -22.502712, 116.982077 -22.502681, 116.982053 -22.502667, 116.982028 -22.502635, 116.981951 -22.502525, 116.981994 -22.50236, 116.982128 -22.502225, 116.982208 -22.502225, 116.982694 -22.50236, 116.98284 -22.502405, 116.982928 -22.502451, 116.983005 -22.502559, 116.983011 -22.502644, 116.982993 -22.502743, 116.982944 -22.502833, 116.982856 -22.502893, 116.982742 -22.502893))"
Intersection 40,501145.3145799624,7510583.437666079,36,4,74,5,"POLYGON ((117.011328 -22.511612, 117.010744 -22.511431, 117.010627 -22.511322, 117.010589 -22.511233, 117.010665 -22.510988, 117.010728 -22.510935, 117.010826 -22.510853, 117.010841 -22.510853, 117.011425 -22.511033, 117.011568 -22.511078, 117.011682 -22.51122, 117.011626 -22.511461, 117.011578 -22.511552, 117.011473 -22.511612, 117.011328 -22.511612))"
Intersection 41,500199.19570052077,7510905.216063608,47,4,74,5,"POLYGON ((117.002188 -22.508676, 117.002042 -22.508631, 117.001507 -22.50845, 117.001425 -22.508418, 117.001424 -22.508417, 117.001403 -22.508293, 117.001439 -22.508152, 117.001473 -22.508084, 117.001522 -22.508039, 117.001604 -22.508007, 117.001702 -22.508007, 117.002139 -22.508143, 117.002381 -22.508233, 117.002485 -22.508392, 117.002438 -22.508526, 117.002389 -22.508616, 117.002285 -22.508676, 117.002188 -22.508676))"
Intersection 42,501624.01547958225,7510443.251256054,18,4,67,5,"POLYGON ((117.015722 -22.512921, 117.015517 -22.512839, 117.015475 -22.512799, 117.015295 -22.512361, 117.015295 -22.512333, 117.015335 -22.512233, 117.015377 -22.512194, 117.01546 -22.512162, 117.015752 -22.512162, 117.015946 -22.512207, 117.016275 -22.512298, 117.016286 -22.512568, 117.016189 -22.51274, 117.015849 -22.512921, 117.015722 -22.512921))"
Intersection 43,495797.0208439951,7512318.510504793,114,4,65,5,"POLYGON ((116.959361 -22.495933, 116.959182 -22.495856, 116.958842 -22.495675, 116.958696 -22.495585, 116.958647 -22.495539, 116.958687 -22.495354, 116.958827 -22.495174, 116.958876 -22.495174, 116.958973 -22.495219, 116.959541 -22.495522, 116.95959 -22.495567, 116.959624 -22.495644, 116.959624 -22.495733, 116.959604 -22.495796, 116.959598 -22.495809, 116.959447 -22.495933, 116.959361 -22.495933))"
Intersection 44,481955.98495372466,7513835.110061758,26,5,64,5,"POLYGON ((116.824664 -22.48226, 116.824465 -22.482214, 116.824067 -22.481831, 116.824098 -22.481705, 116.824425 -22.481357, 116.824631 -22.481307, 116.824685 -22.481307, 116.824841 -22.481383, 116.824957 -22.48152, 116.824991 -22.481596, 116.825027 -22.481729, 116.825039 -22.481777, 116.825039 -22.481867, 116.825005 -22.481976, 116.824875 -22.482119, 116.824796 -22.482175, 116.824664 -22.48226))"
Intersection 45,487339.6304969541,7512907.1091755275,13,3,51,5,"POLYGON ((116.876971 -22.490471, 116.876534 -22.49038, 116.876417 -22.490271, 116.876417 -22.490226, 116.876517 -22.490047, 116.876632 -22.489892, 116.876777 -22.489892, 116.877069 -22.489983, 116.877151 -22.490015, 116.877249 -22.49006, 116.877454 -22.490251, 116.877428 -22.490317, 116.877394 -22.490394, 116.87736 -22.490426, 116.877345 -22.490439, 116.877263 -22.490471, 116.876971 -22.490471))"
Intersection 46,495145.77083921933,7512501.10978855,14,3,50,5,"POLYGON ((116.952945 -22.494169, 116.952411 -22.494079, 116.952328 -22.494047, 116.952328 -22.494047, 116.952379 -22.493778, 116.952508 -22.493636, 116.952544 -22.493625, 116.952703 -22.493636, 116.952897 -22.493682, 116.953043 -22.493727, 116.953125 -22.493759, 116.953271 -22.493894, 116.953305 -22.493971, 116.953305 -22.494016, 116.953261 -22.494124, 116.953091 -22.494169, 116.952945 -22.494169))"
