INTERSECTION_NAME,INTERSECTION_X,INTERSECTION_Y,GRAPH_NODE_COUNT,MAX_GRAPH_DEGREE,BRANCH_COUNT,DIRECTION_GROUP_COUNT,DETECTION_METHOD,MANUAL_EDIT,geometry_wkt
Intersection 1,482332.5057217923,7513905.584463102,35.0,5.0,63.0,6.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.828294 -22.481639, 116.828069 -22.48152, 116.827757 -22.481269, 116.82775 -22.481263, 116.827757 -22.481116, 116.82806 -22.480723, 116.828229 -22.480678, 116.828326 -22.480678, 116.828363 -22.480684, 116.828529 -22.480736, 116.828743 -22.481293, 116.828578 -22.481446, 116.828488 -22.481519, 116.828294 -22.481639))"
Intersection 5,515802.3061980885,7510277.213145348,15.0,4.0,53.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((117.153679 -22.514429, 117.153268 -22.514204, 117.153268 -22.513987, 117.153318 -22.51359, 117.153512 -22.513445, 117.153532 -22.513445, 117.153741 -22.513476, 117.15394 -22.513553, 117.154038 -22.51414, 117.154038 -22.51423, 117.154004 -22.514307, 117.153955 -22.514352, 117.153727 -22.514429, 117.153679 -22.514429))"
Intersection 6,484502.93389950966,7513420.7150406595,43.0,4.0,47.0,6.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.849244 -22.48602, 116.848861 -22.485675, 116.848861 -22.485505, 116.848959 -22.48524, 116.849379 -22.485028, 116.849416 -22.485036, 116.849654 -22.485184, 116.849805 -22.485533, 116.849824 -22.485596, 116.849824 -22.485641, 116.849805 -22.48575, 116.849525 -22.486021, 116.849244 -22.48602))"
Intersection 8,484480.89855855587,7513316.308936643,9.0,4.0,46.0,6.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.848933 -22.486923, 116.848781 -22.486562, 116.848781 -22.486345, 116.848948 -22.486074, 116.849089 -22.486061, 116.849172 -22.486074, 116.849254 -22.486106, 116.849352 -22.486152, 116.849463 -22.48621, 116.849483 -22.486545, 116.849482 -22.486635, 116.849448 -22.486711, 116.849362 -22.486822, 116.84922 -22.486879, 116.849186 -22.486892, 116.849025 -22.486924, 116.848933 -22.486923))"
Intersection 9,486445.209882956,7513167.2490005065,5.0,3.0,43.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((116.868078 -22.488205, 116.86801 -22.488181, 116.867768 -22.487645, 116.867768 -22.487599, 116.867804 -22.487491, 116.867884 -22.487491, 116.868322 -22.487582, 116.868467 -22.487627, 116.868696 -22.487749, 116.86871 -22.487763, 116.868632 -22.488057, 116.868516 -22.48816, 116.868127 -22.488205, 116.868078 -22.488205))"
Intersection 10,482561.35093732196,7513916.536479391,9.0,3.0,41.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((116.83061 -22.48153, 116.830138 -22.481317, 116.830009 -22.481218, 116.829959 -22.48106, 116.829959 -22.480981, 116.829999 -22.480887, 116.830139 -22.480712, 116.830188 -22.480667, 116.83049 -22.480599, 116.830708 -22.480681, 116.83079 -22.480713, 116.830936 -22.480803, 116.830973 -22.480838, 116.830824 -22.481447, 116.830707 -22.48153, 116.83061 -22.48153))"
Intersection 11,512114.5270855131,7510632.705302477,18.0,3.0,40.0,6.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((117.117976 -22.511266, 117.117777 -22.5112, 117.117388 -22.511068, 117.117388 -22.511009, 117.117436 -22.510484, 117.117656 -22.510324, 117.11799 -22.510313, 117.117996 -22.510313, 117.118204 -22.510469, 117.118204 -22.510512, 117.118059 -22.511144, 117.118025 -22.511221, 117.117976 -22.511266))"
Intersection 12,513221.26630865433,7511164.079124474,19.0,4.0,36.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((117.128633 -22.506321, 117.128244 -22.506186, 117.12815 -22.506011, 117.128064 -22.505793, 117.128145 -22.505608, 117.128147 -22.505608, 117.128924 -22.505742, 117.129007 -22.505774, 117.129056 -22.505819, 117.128997 -22.506004, 117.12891 -22.506185, 117.128682 -22.506321, 117.128633 -22.506321))"
Intersection 13,482585.4537683321,7514454.546909862,4.0,3.0,35.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((116.830567 -22.476697, 116.83045 -22.476618, 116.830403 -22.475865, 116.830403 -22.475822, 116.830519 -22.475757, 116.830568 -22.475757, 116.830908 -22.475803, 116.830991 -22.475835, 116.831039 -22.47588, 116.831087 -22.476349, 116.831061 -22.476381, 116.830615 -22.476697, 116.830567 -22.476697))"
Intersection 14,513027.04371321463,7510701.546400121,7.0,3.0,35.0,6.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((117.126515 -22.510629, 117.126397 -22.510602, 117.126371 -22.51059, 117.126269 -22.509796, 117.126318 -22.509751, 117.126757 -22.509704, 117.126954 -22.509782, 117.127167 -22.51016, 117.127033 -22.510297, 117.126678 -22.510582, 117.126595 -22.510614, 117.126515 -22.510629))"
Intersection 17,515783.4643526287,7509833.88190635,6.0,3.0,31.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((117.15378 -22.518359, 117.153148 -22.518134, 117.153057 -22.518089, 117.152956 -22.517907, 117.152999 -22.517809, 117.153345 -22.517556, 117.153439 -22.517555, 117.153491 -22.517567, 117.153799 -22.517684, 117.153897 -22.518251, 117.153897 -22.518296, 117.153867 -22.518359, 117.15378 -22.518359))"
Intersection 18,481665.21460943547,7511967.302269957,12.0,4.0,29.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((116.821984 -22.499047, 116.821902 -22.499015, 116.821416 -22.498698, 116.821266 -22.498567, 116.821236 -22.498531, 116.821236 -22.498428, 116.821308 -22.498377, 116.821492 -22.498257, 116.8217 -22.498354, 116.821936 -22.498472, 116.82213 -22.498592, 116.822204 -22.498864, 116.822138 -22.498984, 116.822032 -22.499047, 116.821984 -22.499047))"
Intersection 19,481718.873348138,7512757.771829311,3.0,3.0,29.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((116.822117 -22.49193, 116.821925 -22.491846, 116.821925 -22.491756, 116.821945 -22.491512, 116.822169 -22.491084, 116.822181 -22.491076, 116.822402 -22.491084, 116.822525 -22.491208, 116.822629 -22.491402, 116.822645 -22.491621, 116.822645 -22.491667, 116.822117 -22.49193))"
Intersection 21,484283.8858378789,7517927.221849109,24.0,4.0,27.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((116.847253 -22.445192, 116.846874 -22.444981, 116.846897 -22.444654, 116.846912 -22.444492, 116.846917 -22.444489, 116.84706 -22.444415, 116.847094 -22.444412, 116.847293 -22.444416, 116.847702 -22.444923, 116.847702 -22.44514, 116.847564 -22.445185, 116.847486 -22.445192, 116.847253 -22.445192))"
Intersection 22,482007.31796636037,7511505.496375227,3.0,3.0,27.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((116.82473 -22.503167, 116.82473 -22.503097, 116.824765 -22.502632, 116.82478 -22.502555, 116.824828 -22.502397, 116.825062 -22.502397, 116.825547 -22.502917, 116.825547 -22.50295, 116.825353 -22.503098, 116.824964 -22.503167, 116.82473 -22.503167))"
Intersection 25,483139.901337625,7512984.1163845,2.0,3.0,26.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((116.835946 -22.489756, 116.83583 -22.489693, 116.835658 -22.489575, 116.835658 -22.489359, 116.835801 -22.489314, 116.836336 -22.489224, 116.836519 -22.489224, 116.836519 -22.489441, 116.836283 -22.4897, 116.835995 -22.489757, 116.835946 -22.489756))"
Intersection 26,514989.83133459464,7510125.3890703935,2.0,3.0,26.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((117.145493 -22.515728, 117.145429 -22.515128, 117.145452 -22.514943, 117.145511 -22.514943, 117.146046 -22.515078, 117.146175 -22.515123, 117.146178 -22.515155, 117.146175 -22.51534, 117.145726 -22.515728, 117.145493 -22.515728))"
Intersection 27,511970.14696034824,7510562.20385238,4.0,3.0,26.0,6.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((117.116265 -22.511818, 117.116076 -22.511733, 117.115902 -22.511539, 117.116007 -22.511345, 117.116524 -22.510955, 117.116698 -22.511055, 117.116819 -22.511217, 117.11682 -22.511434, 117.116265 -22.511818))"
Intersection 29,481635.76626540825,7512626.665971168,2.0,3.0,25.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((116.82136 -22.493174, 116.821243 -22.493124, 116.821181 -22.49251, 116.821256 -22.492325, 116.821263 -22.492325, 116.821691 -22.492335, 116.821856 -22.492488, 116.821622 -22.49293, 116.821539 -22.493052, 116.821476 -22.493124, 116.821408 -22.493174, 116.82136 -22.493174))"
Intersection 30,483777.6994087009,7513350.794396463,8.0,3.0,25.0,6.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.842283 -22.486678, 116.842104 -22.486583, 116.842104 -22.486537, 116.842107 -22.485797, 116.842375 -22.485785, 116.842581 -22.48586, 116.842583 -22.485882, 116.842581 -22.485906, 116.8424 -22.486461, 116.842352 -22.486569, 116.842303 -22.486659, 116.842283 -22.486678))"
Intersection 31,485451.7294073892,7512888.02259471,3.0,3.0,25.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((116.858556 -22.490712, 116.858347 -22.490615, 116.858128 -22.490455, 116.858128 -22.490238, 116.858871 -22.490032, 116.858975 -22.490226, 116.858923 -22.490451, 116.858758 -22.490605, 116.858556 -22.490712))"
Intersection 32,481957.33879610326,7512428.941664357,3.0,4.0,24.0,6.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.824546 -22.494835, 116.824136 -22.494622, 116.824044 -22.494542, 116.824067 -22.49448, 116.824137 -22.494406, 116.824729 -22.494063, 116.824759 -22.494047, 116.824926 -22.494153, 116.824979 -22.494544, 116.824905 -22.494749, 116.82478 -22.494835, 116.824546 -22.494835))"
Intersection 33,484242.4453555124,7517707.461303672,23.0,4.0,24.0,6.0,CENTERLINE_GRAPH,,"POLYGON ((116.846862 -22.447192, 116.846477 -22.446946, 116.846362 -22.446733, 116.846328 -22.446656, 116.846328 -22.446611, 116.846364 -22.446573, 116.846393 -22.446559, 116.847111 -22.446517, 116.847208 -22.446535, 116.84729 -22.446612, 116.8473 -22.446861, 116.847095 -22.447192, 116.846862 -22.447192))"
Intersection 44,481935.98495372466,7513805.110061753,26.0,5.0,64.0,5.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.824469 -22.482531, 116.82427 -22.482485, 116.823872 -22.482101, 116.823903 -22.481976, 116.82423 -22.481628, 116.824437 -22.481578, 116.82449 -22.481578, 116.824647 -22.481654, 116.824762 -22.48179, 116.824796 -22.481867, 116.824832 -22.481999, 116.824844 -22.482048, 116.824844 -22.482138, 116.82481 -22.482247, 116.82468 -22.48239, 116.824601 -22.482445, 116.824469 -22.482531))"
Intersection 47,482070.2949236194,7515163.463103045,18.0,4.0,48.0,5.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.825861 -22.470052, 116.825457 -22.47002, 116.825341 -22.469974, 116.825326 -22.469961, 116.82521 -22.469852, 116.82521 -22.469672, 116.825244 -22.469595, 116.825293 -22.46955, 116.825375 -22.469518, 116.826007 -22.469519, 116.82612 -22.469582, 116.826225 -22.469647, 116.826138 -22.470052, 116.825861 -22.470052))"
Intersection 48,482474.9414328228,7514811.5839959355,17.0,4.0,47.0,5.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.829842 -22.473399, 116.829419 -22.473231, 116.829322 -22.473186, 116.829307 -22.473172, 116.829177 -22.47305, 116.829094 -22.472928, 116.829094 -22.472883, 116.829435 -22.472554, 116.829503 -22.472504, 116.829551 -22.472504, 116.829668 -22.472555, 116.830076 -22.472821, 116.830141 -22.473016, 116.830153 -22.47311, 116.830153 -22.473122, 116.82993 -22.473368, 116.829883 -22.473399, 116.829842 -22.473399))"
Intersection 55,482658.87862245797,7514159.012345315,7.0,5.0,42.0,5.0,CENTERLINE_GRAPH,,"POLYGON ((116.831415 -22.479339, 116.831259 -22.479286, 116.831091 -22.479167, 116.830982 -22.479016, 116.830982 -22.478983, 116.831001 -22.478875, 116.831128 -22.478622, 116.831196 -22.478513, 116.831765 -22.4785, 116.831841 -22.478514, 116.831941 -22.478603, 116.831867 -22.478809, 116.831424 -22.479331, 116.831415 -22.479339))"
Intersection 57,482963.6179622454,7515748.0474279905,7.0,4.0,42.0,5.0,CENTERLINE_GRAPH,,"POLYGON ((116.834615 -22.464866, 116.834047 -22.464834, 116.833949 -22.464744, 116.833912 -22.464709, 116.833928 -22.464618, 116.833976 -22.464528, 116.834373 -22.463972, 116.834422 -22.463972, 116.834538 -22.464075, 116.834834 -22.464424, 116.834833 -22.464641, 116.83478 -22.464804, 116.834664 -22.464866, 116.834615 -22.464866))"
Intersection 58,482905.59907875117,7512782.155613905,14.0,4.0,41.0,5.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.833855 -22.491787, 116.833432 -22.491439, 116.833334 -22.491348, 116.833289 -22.491306, 116.833347 -22.491185, 116.833709 -22.490847, 116.833758 -22.490847, 116.834046 -22.490949, 116.834277 -22.491331, 116.834224 -22.491516, 116.833855 -22.491787))"
Intersection 59,482192.02488872956,7515456.180601001,95.0,6.0,40.0,5.0,CENTERLINE_GRAPH,,"POLYGON ((116.826753 -22.467627, 116.826705 -22.467582, 116.826447 -22.467204, 116.826434 -22.467178, 116.826411 -22.467112, 116.826511 -22.466886, 116.826549 -22.466817, 116.82684 -22.466668, 116.826983 -22.466674, 116.827149 -22.466768, 116.827386 -22.467081, 116.827405 -22.467266, 116.827385 -22.467298, 116.827241 -22.467442, 116.826839 -22.467602, 116.826753 -22.467627))"
Intersection 67,486492.0896497947,7513131.958028948,4.0,3.0,36.0,5.0,CENTERLINE_GRAPH,,"POLYGON ((116.868612 -22.488567, 116.868467 -22.488522, 116.868403 -22.488476, 116.86835 -22.488413, 116.86835 -22.488368, 116.868399 -22.488052, 116.868434 -22.487943, 116.868662 -22.487763, 116.86871 -22.487763, 116.868793 -22.487795, 116.86889 -22.48784, 116.868987 -22.48793, 116.869021 -22.488007, 116.869021 -22.488188, 116.869002 -22.488251, 116.868875 -22.488413, 116.868758 -22.488522, 116.868744 -22.488535, 116.868661 -22.488567, 116.868612 -22.488567))"
Intersection 70,482044.3262025064,7513525.737732688,11.0,4.0,35.0,5.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.825068 -22.4849, 116.825057 -22.484897, 116.824927 -22.484732, 116.82539 -22.484205, 116.825585 -22.484095, 116.825765 -22.484262, 116.825779 -22.484276, 116.825814 -22.484353, 116.825813 -22.484754, 116.825767 -22.484847, 116.82573 -22.484881, 116.825068 -22.4849))"
Intersection 75,481606.5404751492,7512467.457933644,43.0,5.0,33.0,5.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.821163 -22.494619, 116.820872 -22.494528, 116.820789 -22.494497, 116.820741 -22.494451, 116.820775 -22.49397, 116.820805 -22.493833, 116.820821 -22.493758, 116.820936 -22.493711, 116.821019 -22.493679, 116.821225 -22.49364, 116.821478 -22.49375, 116.82167 -22.494016, 116.821669 -22.494238, 116.821377 -22.494515, 116.82126 -22.494619, 116.821163 -22.494619))"
Intersection 76,512239.62198393693,7510756.289066494,33.0,4.0,33.0,5.0,CENTERLINE_GRAPH,,"POLYGON ((117.119142 -22.510045, 117.118943 -22.510011, 117.118554 -22.50984, 117.118539 -22.509775, 117.118602 -22.50959, 117.118748 -22.50923, 117.118981 -22.509229, 117.119466 -22.509499, 117.119466 -22.509716, 117.119419 -22.509833, 117.119142 -22.510045))"
Intersection 77,482372.5525826161,7513204.501719364,5.0,3.0,33.0,5.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.828755 -22.487942, 116.828672 -22.48791, 116.828202 -22.487625, 116.828203 -22.487409, 116.828516 -22.487104, 116.828707 -22.487048, 116.828888 -22.487048, 116.82897 -22.487136, 116.828969 -22.487156, 116.82892 -22.487867, 116.828803 -22.487942, 116.828755 -22.487942))"
Intersection 78,483903.7878777059,7513539.422944705,13.0,3.0,33.0,5.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.843586 -22.484933, 116.843224 -22.484853, 116.843224 -22.484777, 116.843273 -22.484087, 116.84373 -22.484037, 116.843759 -22.484037, 116.843847 -22.484145, 116.843847 -22.48419, 116.843751 -22.48478, 116.843586 -22.484933))"
Intersection 79,515365.8920554874,7509864.514107892,2.0,3.0,33.0,5.0,CENTERLINE_GRAPH,,"POLYGON ((117.149599 -22.518092, 117.14921 -22.517957, 117.149112 -22.517912, 117.148996 -22.517804, 117.148995 -22.517758, 117.149206 -22.517367, 117.149306 -22.517198, 117.149355 -22.517198, 117.149437 -22.51723, 117.149534 -22.517275, 117.149583 -22.51732, 117.149715 -22.517532, 117.149764 -22.517938, 117.149647 -22.518092, 117.149599 -22.518092))"
Intersection 80,515303.75495248206,7509892.060184817,3.0,3.0,33.0,5.0,CENTERLINE_GRAPH,,"POLYGON ((117.148869 -22.517822, 117.148592 -22.5177, 117.148397 -22.51761, 117.148373 -22.517596, 117.148349 -22.517565, 117.148372 -22.51738, 117.14864 -22.517185, 117.148771 -22.517108, 117.14916 -22.517108, 117.149243 -22.517139, 117.149285 -22.517179, 117.148986 -22.517713, 117.148888 -22.517822, 117.148869 -22.517822))"
Intersection 81,512624.9387131268,7510883.739110373,9.0,7.0,32.0,5.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((117.123142 -22.508719, 117.122437 -22.508641, 117.122251 -22.508511, 117.122241 -22.508474, 117.122357 -22.508277, 117.122503 -22.508247, 117.122899 -22.508277, 117.122981 -22.508308, 117.122996 -22.508322, 117.123307 -22.508611, 117.123307 -22.50863, 117.123191 -22.508719, 117.123142 -22.508719))"
Intersection 83,504384.89237799693,7510277.281050808,2.0,4.0,32.0,5.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((117.042371 -22.514407, 117.042326 -22.513666, 117.042326 -22.513585, 117.042559 -22.513585, 117.043033 -22.513964, 117.043094 -22.514072, 117.043094 -22.514118, 117.043033 -22.514181, 117.042977 -22.514226, 117.042491 -22.514407, 117.042371 -22.514407))"
Intersection 86,482779.65744451183,7513897.455069119,20.0,4.0,31.0,5.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.832871 -22.481602, 116.832277 -22.481364, 116.832083 -22.481229, 116.832065 -22.481212, 116.832097 -22.481152, 116.832166 -22.481044, 116.832618 -22.48085, 116.832817 -22.480914, 116.833059 -22.481469, 116.833059 -22.481472, 116.832944 -22.481578, 116.832871 -22.481602))"
