INTERSECTION_NAME,INTERSECTION_X,INTERSECTION_Y,GRAPH_NODE_COUNT,MAX_GRAPH_DEGREE,BRANCH_COUNT,DIRECTION_GROUP_COUNT,DETECTION_METHOD,MANUAL_EDIT,geometry_wkt
Centerline Intersection 1,712815.0720836014,7647139.763370267,8,4,43,6,CENTERLINE_GRAPH,,"POLYGON ((119.050907 -21.265487, 119.050782 -21.265443, 119.050748 -21.265412, 119.05065 -21.265277, 119.050615 -21.265201, 119.050614 -21.265111, 119.050671 -21.264641, 119.050805 -21.264578, 119.051031 -21.264593, 119.051498 -21.264784, 119.051531 -21.264843, 119.051451 -21.265028, 119.051296 -21.265315, 119.051282 -21.265329, 119.051168 -21.265438, 119.051153 -21.265452, 119.051072 -21.265485, 119.050907 -21.265487))"
Centerline Intersection 2,713601.0126854602,7647146.2444258565,71,5,42,6,CENTERLINE_GRAPH,,"POLYGON ((119.058633 -21.265347, 119.058371 -21.265248, 119.058265 -21.265126, 119.058175 -21.264964, 119.058173 -21.264838, 119.058219 -21.26466, 119.058256 -21.264576, 119.058394 -21.264443, 119.058426 -21.264421, 119.058494 -21.264388, 119.058698 -21.26442, 119.058961 -21.26463, 119.058978 -21.264738, 119.058999 -21.264977, 119.058778 -21.265345, 119.058633 -21.265347))"
Centerline Intersection 5,713001.812434827,7647137.727259623,15,3,38,6,CENTERLINE_GRAPH,,"POLYGON ((119.052917 -21.265476, 119.052589 -21.265374, 119.05253 -21.265345, 119.052481 -21.2653, 119.052412 -21.265164, 119.05245 -21.265054, 119.052456 -21.26504, 119.052538 -21.264862, 119.052665 -21.264648, 119.052712 -21.264602, 119.052808 -21.264556, 119.052888 -21.264525, 119.052986 -21.264567, 119.053103 -21.264674, 119.053118 -21.264688, 119.053153 -21.264764, 119.053155 -21.264899, 119.053078 -21.26532, 119.052951 -21.265462, 119.052917 -21.265476))"
Centerline Intersection 6,712688.3226408344,7647187.511463126,19,4,36,6,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.04994 -21.265081, 119.049732 -21.264986, 119.049536 -21.264839, 119.049412 -21.264732, 119.049336 -21.264527, 119.0494 -21.264403, 119.049657 -21.264156, 119.049707 -21.264153, 119.049753 -21.264155, 119.050184 -21.264466, 119.050262 -21.264617, 119.05018 -21.264741, 119.04994 -21.265081))"
Centerline Intersection 7,713240.1012102894,7650387.55699574,8,4,32,6,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.054497 -21.235982, 119.05425 -21.235535, 119.05425 -21.23549, 119.054364 -21.23538, 119.054508 -21.235333, 119.054604 -21.235332, 119.054962 -21.235436, 119.055183 -21.235506, 119.055186 -21.235722, 119.054729 -21.23598, 119.054497 -21.235982))"
Centerline Intersection 8,712474.1983193437,7650982.388007966,3,3,31,6,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.047555 -21.230622, 119.046788 -21.230586, 119.046748 -21.230402, 119.046796 -21.230356, 119.047034 -21.230173, 119.047225 -21.23008, 119.047307 -21.230047, 119.047499 -21.23, 119.047542 -21.229999, 119.047669 -21.230467, 119.047669 -21.230512, 119.047598 -21.230622, 119.047555 -21.230622))"
Centerline Intersection 10,713492.1897267562,7647344.369545091,6,3,29,6,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.057508 -21.263517, 119.057361 -21.263506, 119.05719 -21.263405, 119.057187 -21.263179, 119.057198 -21.263131, 119.057233 -21.263043, 119.057385 -21.262677, 119.05742 -21.262609, 119.057628 -21.262703, 119.057861 -21.262837, 119.057862 -21.262869, 119.057864 -21.263054, 119.057663 -21.263449, 119.057508 -21.263517))"
Centerline Intersection 11,712586.0862037165,7648623.5261026565,8,5,28,6,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.048617 -21.251956, 119.04842 -21.25191, 119.048185 -21.251793, 119.048068 -21.251686, 119.048067 -21.25164, 119.048177 -21.251531, 119.048853 -21.251342, 119.048901 -21.251341, 119.049017 -21.25136, 119.049106 -21.251676, 119.049059 -21.251767, 119.048617 -21.251956))"
Centerline Intersection 13,713706.9817064035,7650756.117031918,3,3,27,6,CENTERLINE_GRAPH,,"POLYGON ((119.059026 -21.232584, 119.058699 -21.23211, 119.058795 -21.231939, 119.058892 -21.231938, 119.059472 -21.232112, 119.059606 -21.232155, 119.059609 -21.232372, 119.059257 -21.232581, 119.059026 -21.232584))"
Centerline Intersection 14,712158.8368904744,7650989.614796923,4,3,23,6,CENTERLINE_GRAPH,,"POLYGON ((119.044433 -21.230622, 119.043882 -21.230526, 119.043793 -21.230431, 119.043806 -21.230321, 119.043893 -21.230236, 119.044205 -21.230016, 119.044436 -21.230013, 119.044594 -21.230467, 119.044433 -21.230622))"
